genre,games_count,revenue_total_B,revenue_avg_K,revenue_median,pct_under_5k,pct_5k_25k,pct_25k_100k,pct_100k_1M,pct_over_1M,revenue_total_M,revenue_avg,success_rate_25k,success_rate_100k,hit_rate_1M,failure_rate,market_saturation,dev_cost_min_K,dev_cost_max_K,dev_cost_typical_K,complexity_tier,roi_median,roi_avg,breakeven_needed,risk_adj_median,risk_adj_roi,saturation_norm,median_norm,success_norm,cost_norm,opportunity_score
Singleplayer,107754,47.0,590,660,72,11,7,7,3,47000.0,590000,17,10,3,72,2.2926382978723403,20,200,60,Medium,-98.9,883.3,60000,185.0,-99.7,0.879277865301136,0.0946291560102301,0.2692307692307692,0.9664429530201344,50.9
Indie,89726,15.0,220,570,76,12,6,5,2,15000.0,220000,13,7,2,76,5.981733333333334,10,100,40,Low-Med,-98.6,450.0,40000,137.0,-99.7,0.6373570644952845,0.0716112531969309,0.1153846153846153,0.9798657718120806,40.6
Casual,72955,6.5,110,460,79,11,6,4,1,6500.0,110000,11,5,1,79,11.223846153846154,5,30,12,Low,-96.2,816.7,12000,97.0,-99.2,0.2935935888290606,0.0434782608695652,0.0384615384615384,0.9986577181208054,29.6
Action,72402,43.0,820,570,73,11,6,6,4,43000.0,820000,16,10,4,73,1.6837674418604651,40,500,150,High,-99.6,446.7,150000,154.0,-99.9,0.919205957057474,0.0716112531969309,0.2307692307692307,0.906040268456376,49.0
Adventure,69296,35.0,700,1100,68,13,8,7,4,35000.0,700000,19,11,4,68,1.9798857142857145,25,200,70,Medium,-98.4,900.0,70000,352.0,-99.5,0.8997873275806625,0.2071611253196931,0.3461538461538461,0.9597315436241612,56.6
2D,58187,6.4,150,480,76,11,6,5,2,6400.0,150000,13,7,2,76,9.09171875,10,80,30,Low-Med,-98.4,400.0,30000,115.0,-99.6,0.4334126945990227,0.0485933503836317,0.1153846153846153,0.9865771812080536,34.9
3D,47992,9.1,300,380,78,10,6,5,2,9100.0,300000,13,7,2,78,5.273846153846153,50,600,180,High,-99.8,66.7,180000,84.0,-100.0,0.6837783769569014,0.0230179028132992,0.1153846153846153,0.8859060402684564,38.4
Simulation,37724,16.0,590,1400,65,14,9,8,4,16000.0,590000,21,12,4,65,2.35775,30,300,90,Med-High,-98.4,555.6,90000,490.0,-99.5,0.875008017284443,0.2838874680306905,0.4230769230769231,0.9463087248322148,59.9
Atmospheric,36007,30.0,1200,1300,66,12,8,8,5,30000.0,1200000,21,13,5,66,1.2002333333333333,40,400,130,Med-High,-99.0,823.1,130000,442.0,-99.7,0.9509148064168426,0.258312020460358,0.4230769230769231,0.9194630872483222,60.5
Strategy,35646,12.0,480,760,69,12,8,7,4,12000.0,480000,19,11,4,69,2.9705,35,300,100,Med-High,-99.2,380.0,100000,236.0,-99.8,0.834825541834807,0.1202046035805626,0.3461538461538461,0.9395973154362416,51.9
Colorful,33092,3.5,150,480,77,11,6,5,2,3500.0,150000,13,7,2,77,9.454857142857144,10,60,25,Low-Med,-98.1,500.0,25000,110.0,-99.6,0.409599068232964,0.0485933503836317,0.1153846153846153,0.9899328859060402,34.4
RPG,32807,20.0,890,1400,63,14,10,9,5,20000.0,890000,24,14,5,63,1.64035,60,800,250,High,-99.4,256.0,250000,518.0,-99.8,0.9220531545958568,0.2838874680306905,0.5384615384615384,0.8389261744966443,61.8
Exploration,32553,16.0,780,1100,68,13,8,7,4,16000.0,780000,19,11,4,68,2.0345625,25,200,65,Medium,-98.3,1100.0,65000,352.0,-99.5,0.8962017729505046,0.2071611253196931,0.3461538461538461,0.9630872483221476,56.5
Puzzle,31912,4.0,160,670,75,12,6,5,2,4000.0,160000,13,7,2,75,7.978,5,40,15,Low,-95.5,966.7,15000,168.0,-98.9,0.5064473356919226,0.0971867007672634,0.1153846153846153,0.9966442953020134,38.4
Story Rich,30043,22.0,1100,2500,57,15,11,11,6,22000.0,1100000,28,17,6,57,1.365590909090909,30,250,80,Medium,-96.9,1275.0,80000,1075.0,-98.7,0.9400711071458672,0.5652173913043478,0.6923076923076923,0.953020134228188,76.8
Pixel Graphics,29331,3.1,150,570,75,12,6,5,2,3100.0,150000,13,7,2,75,9.461612903225806,8,60,25,Low-Med,-97.7,500.0,25000,142.0,-99.4,0.409156043875302,0.0716112531969309,0.1153846153846153,0.9899328859060402,35.1
Cute,29216,3.9,180,840,72,13,8,6,2,3900.0,180000,16,8,2,72,7.4912820512820515,10,60,22,Low-Med,-96.2,718.2,22000,235.0,-98.9,0.5383649726160451,0.1406649616368286,0.2307692307692307,0.9919463087248322,43.3
First-Person,28234,21.0,1100,920,69,12,7,7,5,21000.0,1100000,19,12,5,69,1.3444761904761904,80,1200,400,Very High,-99.8,175.0,400000,285.0,-99.9,0.9414557528616762,0.1611253196930946,0.3461538461538461,0.738255033557047,51.8
Fantasy,27124,11.0,620,760,70,12,8,7,4,11000.0,620000,19,11,4,70,2.465818181818182,40,400,120,Med-High,-99.4,416.7,120000,228.0,-99.8,0.8679212003724954,0.1202046035805626,0.3461538461538461,0.9261744966442952,52.5
Action-Adventure,23601,8.2,560,480,75,10,6,5,3,8200.0,560000,14,8,3,75,2.878170731707317,50,600,180,High,-99.7,211.1,180000,120.0,-99.9,0.8408802436813244,0.0485933503836317,0.1538461538461538,0.8859060402684564,44.0
Arcade,23046,2.6,150,340,80,10,5,4,1,2600.0,150000,10,5,1,80,8.863846153846154,5,35,15,Low,-97.7,900.0,15000,68.0,-99.5,0.4483559585738847,0.0127877237851662,0.0,0.9966442953020134,31.5
Multiplayer,21543,35.0,2400,860,62,9,8,11,10,35000.0,2400000,29,21,10,62,0.6155142857142857,100,2000,600,Very High,-99.9,300.0,600000,327.0,-99.9,0.9892590883848345,0.1457800511508951,0.7307692307692307,0.6040268456375839,59.5
Relaxing,21477,2.9,180,530,78,10,6,5,2,2900.0,180000,13,7,2,78,7.405862068965517,8,50,18,Low-Med,-97.1,900.0,18000,117.0,-99.4,0.5439665823138705,0.0613810741687979,0.1153846153846153,0.9946308724832216,38.2
Combat,20964,7.2,570,290,79,9,5,5,2,7200.0,570000,12,7,2,79,2.911666666666666,50,600,200,High,-99.9,185.0,200000,61.0,-100.0,0.8386836715325416,0.0,0.0769230769230769,0.87248322147651,40.3
Funny,20743,8.4,570,990,67,12,8,8,4,8400.0,570000,20,12,4,67,2.469404761904762,15,80,35,Low-Med,-97.2,1528.6,35000,327.0,-99.1,0.8676860022227163,0.1790281329923273,0.3846153846153846,0.9832214765100672,56.3
Horror,20178,9.3,670,1100,68,13,8,7,4,9300.0,670000,19,11,4,68,2.1696774193548385,20,120,50,Medium,-97.8,1240.0,50000,352.0,-99.3,0.8873413046847268,0.2071611253196931,0.3461538461538461,0.9731543624161074,56.5
Stylized,19863,1.3,110,500,77,11,6,5,2,1300.0,110000,13,7,2,77,15.27923076923077,30,300,90,Med-High,-99.4,22.2,90000,115.0,-99.9,0.0276525153953208,0.0537084398976982,0.1153846153846153,0.9463087248322148,24.1
Early Access,19540,6.5,460,630,73,12,7,6,3,6500.0,460000,16,9,3,73,3.006153846153846,30,300,90,Medium,-99.3,411.1,90000,170.0,-99.8,0.832487459749516,0.0869565217391304,0.2307692307692307,0.9463087248322148,48.1
Shooter,18852,15.0,1100,460,74,10,6,6,4,15000.0,1100000,16,10,4,74,1.2568,80,1000,350,Very High,-99.9,214.3,350000,120.0,-100.0,0.9472053185431566,0.0434782608695652,0.2307692307692307,0.7718120805369127,46.2
Sci-fi,18330,11.0,870,760,68,11,8,8,5,11000.0,870000,21,13,5,68,1.6663636363636365,40,400,120,Med-High,-99.4,625.0,120000,243.0,-99.8,0.9203472512020788,0.1202046035805626,0.4230769230769231,0.9261744966442952,55.7
Anime,18291,3.7,250,2100,60,16,11,9,3,3700.0,250000,23,12,3,60,4.943513513513514,15,80,35,Low-Med,-94.0,614.3,35000,840.0,-97.6,0.7054406914577251,0.4629156010230179,0.5,0.9832214765100672,63.7
Third Person,17584,21.0,1800,480,71,9,6,7,7,21000.0,1800000,20,14,7,71,0.8373333333333334,100,1500,500,Very High,-99.9,260.0,500000,139.0,-100.0,0.9747127996288752,0.0485933503836317,0.3846153846153846,0.6711409395973154,48.9
Retro,17286,1.5,110,760,73,12,7,6,2,1500.0,110000,15,8,2,73,11.524,8,50,20,Low-Med,-96.2,450.0,20000,205.0,-99.0,0.2739103174227926,0.1202046035805626,0.1923076923076923,0.9932885906040269,35.1
Top-Down,17271,1.1,100,350,79,9,5,5,1,1100.0,100000,11,6,1,79,15.700909090909091,15,100,35,Low-Med,-99.0,185.7,35000,73.0,-99.8,0.0,0.0153452685421994,0.0384615384615384,0.9832214765100672,21.1
Platformer,17180,3.1,240,420,77,10,5,5,2,3100.0,240000,12,7,2,77,5.541935483870968,15,100,40,Low-Med,-99.0,500.0,40000,97.0,-99.8,0.6661978091526883,0.0332480818414322,0.0769230769230769,0.9798657718120806,39.2
Open World,13100,29.0,3500,2100,57,10,8,12,13,29000.0,3500000,33,25,13,57,0.4517241379310345,200,5000,1500,AAA,-99.9,133.3,1500000,903.0,-99.9,1.0,0.4629156010230179,0.8846153846153846,0.0,61.0
Visual Novel,13972,1.5,140,2000,62,17,11,8,2,1500.0,140000,21,10,2,62,9.314666666666668,3,25,10,Low,-80.0,1300.0,10000,760.0,-92.4,0.4187923776867324,0.4373401534526854,0.4230769230769231,1.0,54.2
Mystery,13968,1.8,200,1100,68,13,9,7,3,1800.0,200000,19,10,3,68,7.76,20,100,45,Medium,-97.6,344.4,45000,352.0,-99.2,0.520743181710724,0.2071611253196931,0.3461538461538461,0.976510067114094,47.4
Survival,13636,12.0,1300,800,69,11,7,7,6,12000.0,1300000,20,13,6,69,1.1363333333333334,30,300,90,Medium,-99.1,1344.4,90000,248.0,-99.7,0.9551051943095096,0.1304347826086956,0.3846153846153846,0.9463087248322148,56.3
Roguelike,12536,2.2,290,1200,66,14,9,8,3,2200.0,290000,20,11,3,66,5.698181818181818,25,150,55,Medium,-97.8,427.3,55000,408.0,-99.3,0.6559516002705319,0.2327365728900255,0.3846153846153846,0.9697986577181208,52.4
Roguelite,11799,2.3,330,1400,65,15,9,9,3,2300.0,330000,21,12,3,65,5.13,25,150,55,Medium,-97.5,500.0,55000,490.0,-99.1,0.6932114157907612,0.2838874680306905,0.4230769230769231,0.9697986577181208,55.8
FPS,11105,13.0,1700,760,68,11,7,8,6,13000.0,1700000,21,14,6,68,0.8542307692307692,100,1500,500,Very High,-99.8,240.0,500000,243.0,-100.0,0.9736047118229012,0.1202046035805626,0.4230769230769231,0.6711409395973154,51.9
Co-op,11009,24.0,3200,2700,55,11,9,12,13,24000.0,3200000,34,25,13,55,0.4587083333333333,80,1500,450,Very High,-99.4,611.1,450000,1215.0,-99.7,0.9995419954952456,0.6163682864450127,0.9230769230769232,0.7046979865771812,80.7
Sandbox,10578,16.0,2400,3300,54,12,10,14,10,16000.0,2400000,34,24,10,54,0.661125,50,600,200,High,-98.4,1100.0,200000,1518.0,-99.2,0.9862680620167787,0.7698209718670077,0.9230769230769232,0.87248322147651,88.3
Management,10499,5.2,820,2900,56,15,11,12,6,5200.0,820000,29,18,6,56,2.0190384615384613,35,300,100,Med-High,-97.1,720.0,100000,1276.0,-98.7,0.8972197970947069,0.6675191815856778,0.7307692307692307,0.9395973154362416,79.5
Action RPG,10057,11.0,1700,1000,65,11,8,9,6,11000.0,1700000,23,15,6,65,0.9142727272727272,60,800,250,High,-99.6,580.0,250000,350.0,-99.9,0.9696673238098958,0.1815856777493606,0.5,0.8389261744966443,59.0
Difficult,9756,10.0,1300,2000,61,14,9,10,6,10000.0,1300000,25,16,6,61,0.9756,25,200,70,Medium,-97.1,1757.1,70000,780.0,-98.9,0.9656456483619044,0.4373401534526854,0.5769230769230769,0.9597315436241612,70.9
Building,9190,7.6,1300,2400,57,13,10,12,7,7600.0,1300000,29,19,7,57,1.2092105263157895,50,500,180,High,-98.7,622.2,180000,1032.0,-99.4,0.9503261065610707,0.5396419437340153,0.7307692307692307,0.8859060402684564,75.9
Tactical,8927,6.6,1100,840,66,11,7,8,4,6600.0,1100000,19,12,4,66,1.3525757575757575,35,250,90,Med-High,-99.1,1122.2,90000,286.0,-99.7,0.9409246053200508,0.1406649616368286,0.3461538461538461,0.9463087248322148,55.3
Tower Defense,7000,1.2,200,600,74,12,7,5,2,1200.0,200000,14,7,2,74,5.833333333333333,15,80,35,Low-Med,-98.3,471.4,35000,156.0,-99.6,0.6470887321521201,0.0792838874680307,0.1538461538461538,0.9832214765100672,42.1
Turn-Based Strategy,6500,3.8,720,1800,64,14,10,8,4,3800.0,720000,22,12,4,64,1.7105263157894737,30,200,70,Medium,-97.4,928.6,70000,648.0,-99.1,0.917451183014696,0.3861892583120204,0.4615384615384615,0.9597315436241612,65.3
Metroidvania,5800,1.9,430,1600,65,15,10,8,3,1900.0,430000,21,11,3,65,3.0526315789473686,30,200,70,Medium,-97.7,514.3,70000,560.0,-99.2,0.8294395766700702,0.3350383631713555,0.4230769230769231,0.9597315436241612,60.6
City Builder,4200,4.1,1400,3500,52,14,12,15,7,4100.0,1400000,34,22,7,52,1.024390243902439,60,600,200,High,-98.2,600.0,200000,1680.0,-99.2,0.9624461171047988,0.8209718670076727,0.9230769230769232,0.87248322147651,89.2
Farming Sim,3800,3.2,1100,4200,50,14,13,16,7,3200.0,1100000,36,23,7,50,1.1875,40,400,120,Med-High,-96.5,816.7,120000,2100.0,-98.2,0.951749823722528,1.0,1.0,0.9261744966442952,97.3
Deck Building,3200,1.4,560,2200,60,16,11,9,4,1400.0,560000,24,13,4,60,2.2857142857142856,20,120,45,Medium,-95.1,1144.4,45000,880.0,-98.0,0.8797319231527134,0.4884910485933504,0.5384615384615384,0.976510067114094,69.6
Auto Battler,1800,0.8,560,1800,62,15,11,8,4,800.0,560000,23,12,4,62,2.25,25,150,60,Medium,-97.0,833.3,60000,684.0,-98.9,0.8820739686996992,0.3861892583120204,0.5,0.9664429530201344,65.5
Walking Simulator,4100,1.1,360,1400,67,14,10,7,2,1100.0,360000,19,9,2,67,3.727272727272727,10,60,20,Low-Med,-93.0,1700.0,20000,462.0,-97.7,0.7851984483471033,0.2838874680306905,0.3461538461538461,0.9932885906040269,56.7
Point & Click,11047,1.0,120,1000,70,14,8,6,2,1000.0,120000,16,8,2,70,11.047,15,80,35,Low-Med,-97.1,242.9,35000,300.0,-99.1,0.3051906777483353,0.1815856777493606,0.2307692307692307,0.9832214765100672,38.5
Psychological Horror,13318,4.4,480,1400,66,14,8,8,4,4400.0,480000,20,12,4,66,3.026818181818182,20,120,50,Medium,-97.2,860.0,50000,476.0,-99.0,0.8311323489204419,0.2838874680306905,0.3846153846153846,0.9731543624161074,58.4
Action Roguelike,9233,1.5,280,670,72,12,7,6,2,1500.0,280000,15,8,2,72,6.155333333333333,25,150,55,Medium,-98.8,409.1,55000,188.0,-99.7,0.6259728495004957,0.0971867007672634,0.1923076923076923,0.9697986577181208,42.8
